product,avg_daily_units,std_daily_units,cv_percent
PUMPKIN,6.824505494505495,3.949873979033495,57.8778049517814
PUMPKIN SEEDS KG FLYBERRY,0.2343010752688172,0.1988903884788454,84.88667337555128
PURE O FRESH EGGS 30 pack,4.396648044692737,2.0998100353175553,47.75933879565977
PURE O FRESH EGGS 6 PACK,10.192307692307692,5.115391805049444,50.188749785390776
PUTNALU KOBBARIKARAM 250g AHA,1.0,0.0,0.0
Pomogranate Pack of 4,1.3956043956043955,0.6972823575874308,49.962751606658436
QUINOA SEEDS KGS FLYBERRY,0.12,,
RAGI FLOUR 500G,1.7422680412371134,1.0335854919029026,59.32413770093583
RAGULU 500g,1.3584905660377358,0.7096678427438243,52.239438424198184
RAISIN N ALMOND 150G CHOCOLATE AMUL,1.1,0.31622776601683794,28.747978728803446
RASAM PODI 100g VELLANKI FOODS,1.2,0.4216370213557839,35.136418446315325
RAW BANANA(GREEN PLANTIN),11.656502732240437,3.230833901938564,27.71700891900003
RAW HONEY 500g BT ROYAL BEE PON,1.0,0.0,0.0
RAW HONEY 950G BT ROYAL BEE PON,1.0,0.0,0.0
RAW MANGO,5.464371584699454,2.5707446463992363,47.04556794046483
RAW PEANUT 1KG,1.6666666666666667,0.8046340145904206,48.27804087542523
RAW PEANUT500g,1.9858156028368794,1.0953526216496736,55.158828447358566
RED BANTHI POOLU KGS LOOSE,4.055,1.4354267658086919,35.39893380539315
RED BULL CAN 250ml,1.3333333333333333,0.5940885257860045,44.55663943395034
RED CHERRY FLYBERRY,0.160327868852459,0.10028238816985353,62.548319819642806
RED CHILLI PAPAD 200G EVR,1.0,0.0,0.0
RED CHILLI PICKLE 250G VELLANKI FOODS,1.0555555555555556,0.2357022603955158,22.329687826943605
RED LOBIYA 500g,1.125,0.3349320635285418,29.771738980314826
RED RAJMA 500g,1.1136363636363635,0.3867520743564635,34.728757697315096
RED RICE 1KG,1.1,0.31622776601683794,28.747978728803446
RED SEEDLESS GRAPES,0.28,,
REDCHILLY,0.6,,
RIBBON PAKODI 250g VELLANKI FOODS,1.8267716535433072,1.1133710300787751,60.947465870691566
RICE FLOUR 500G,1.7532467532467533,1.1488649336106092,65.52785176890141
RICE RAVA IDLY BATTER 1KG ID FRESH,1.2941176470588236,0.501761602638497,38.772487476611126
RICE RAWA 500g,1.4821428571428572,1.2208949240554716,82.37363343024869
RIDGE GOURD,35.29901639344263,9.908676801181839,28.070688119860865
ROASTED CHANA 200G,2.5,1.0,40.0
ROASTED SALTED ALMOND  KGS FLYBERRY,0.11,,
ROASTED SALTED PISTA KG FLYBERRY,0.20287671232876714,0.13999483573862834,69.00488189682558
ROMAIN LETTUCE KG ENGISH ITEM SAMBERRY,0.15171875,0.0851619314218041,56.131448104999606
ROSE FLOWER POOLU KG LOOSE,1.08,0.0989949493661165,9.166199015381157
ROSE LONG BRINJAL,9.66344262295082,3.6096250536978456,37.353407005542024
ROUND CHEKKALU 250g VELLANKI FOODS,1.0,,
RUBUSTA BANANA,23.926939890710383,8.303861569047585,34.70507138387368
RUMANI MANGO KG LOOSE,1.5415384615384615,0.9478734633716162,61.48879752410684
Raw Forest Honey 1000g BT,1.1428571428571428,0.3779644730092272,33.071891388307385
Raw Forest Honey 500g BT,1.0909090909090908,0.29424494316824984,26.972453123756235
Raw Jamun Honey 1000g BT,1.0,0.0,0.0
Raw Jamun Honey 500g BT,1.0,0.0,0.0
Raw Neem Honey 1000g BT,1.0,0.0,0.0
Raw Neem Honey 500g BT,1.0,0.0,0.0
Raw Pappaya,1.230357142857143,0.5666240646917766,46.053624996719144
Red Banana,1.2507894736842105,0.9363657562925591,74.86197925334999
Royalaga Pack of 4,1.5294117647058822,0.6615791254131682,43.257096661630236
SABJA SEEDS KG FLYBERRY,0.14285714285714285,0.09074987641692088,63.524913491844615
SABUDANA 250g,1.4848484848484849,0.932200444645715,62.780846272058355
SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA,1.0,0.0,0.0
SAMBAR ONION CHENNAI,1.47,1.6900532535988324,114.96960908835594
SAMBAR PODI 100g VELLANKI FOODS,1.5333333333333334,0.6399404734221844,41.7352482666642
SAMBAR  ONION,2.4147999999999996,1.5987011170775376,66.20428677644267
SANNAPOOSA 250g VELLANKI FOODS,1.4591836734693877,0.6911572149758479,47.36601892841475
SAUNF 100gm EVR,2.5,0.7071067811865476,28.284271247461902
SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,1.2857142857142858,0.46880723093849547,36.46278462854964
SET CURD 1kg BUCKET MILKY MIST,1.8272727272727274,0.9564756686680335,52.3444395788476
SET CURD 200g MILKY MIST,1.2222222222222223,0.5378737547981207,44.00785266530078
SET CURD 400g MILKY MIST,1.1754385964912282,0.4676234373916635,39.78288944973853
SHAH JEERA 50g,1.5063291139240507,0.7315844715501467,48.56737248106016
SHRIKAND ELAICHI 100g MILKY MIST,1.0,0.0,0.0
SHRIKAND MANGO 100g MILKY MIST,1.2666666666666666,0.5936168397046636,46.86448734510502
SID FARMS MALAI PANEER 200g,2.5448717948717947,1.36944984818109,53.81213509225442
SIMLA APPLE,4.593548387096774,2.452929606799587,53.399450709822474
SINGLE POLISH RICE 1Kg,1.6,1.0034423509719619,62.71514693574761
SINGLE POLISH RICE 5Kg,1.3,0.651258728182957,50.09682524484285
SKYR YOGHURT 100g MILKYMIST,1.4615384615384615,0.9046886417224095,61.89974917048065
SMALL AMLA,0.626,0.6511758595034064,104.02170279607131
SMALL CAPSICUM,2.256036036036036,1.444525262864321,64.02935235921238
SNAKE GOURD,2.479657142857143,1.48902957565513,60.049816965397916
SOAN PATTI 250g VELLANKI FOODS,1.0434782608695652,0.20851441405707477,19.98263134713633
SONA MASURI TELANGANA STEAM RICE 26KG GAJANAN,1.0,0.0,0.0
SOYA CHUNKS MEDIUM 200G EVR,1.4556962025316456,0.6364458273405841,43.72106118252708
