product,cost_proxy,avg_unit_price,total_revenue,total_quantity,margin_estimate_percent,gap_to_20_percent
BASIL LEAF KG ENGLISH ITEM SAMBERRY,284.0,295.34375,788.98,2.69,3.840863400698339,16.15913659930166
BASMATHI RICE 1KG,140.0,140.0,16940.0,121.0,0.0,20.0
BAT PAPAD 200G EVR,52.0,49.68888888888889,478.4,10.0,-4.651162790697672,24.651162790697672
BEAUTY PEARS,309.0,375.0475824175824,273667.21,718.9,17.610454116737714,2.3895458832622865
BEET ROOT,32.0,39.98530054644809,104431.36,2606.34,19.970590285227768,0.029409714772231865
BELGIAN CHOCOLATE 125g AMUL,180.0,178.2,2142.0,12.0,-1.0101010101010166,21.010101010101017
BELLAM KOMMULU 250g VELLANKI FOODS,135.0,137.06349206349208,10845.0,79.0,1.5055008685582034,18.494499131441795
BELLAM SUNNIVUNDALU 250g VELLANKI FOODS,170.0,171.28571428571428,14550.0,85.0,0.7506255212677184,19.249374478732282
BESAN 500g,70.0,69.98118279569893,11336.5,167.0,-0.026888948642103942,20.026888948642103
BIG BRINJAL BLUE,49.0,56.461357142857146,20074.45,353.14,13.214980157098601,6.785019842901399
BIRYANI LEAFS 50G,25.0,25.0,2075.0,83.0,0.0,20.0
BITTER CHOCOLATE 150g 90% BITTER AMUL,200.0,200.0,2000.0,10.0,0.0,20.0
BITTER CHOCOLATE 150g AMUL,200.0,198.33333333333334,2380.0,14.0,-0.8403361344537766,20.840336134453775
BITTER GAURD KARAM PODI 100g VELLANKI FOODS,64.0,64.66666666666667,388.0,6.0,1.0309278350515536,18.969072164948447
BITTER GOURD,49.0,58.36898876404494,42064.89,721.89,16.051312456206542,3.948687543793458
BITTER GUARD PICKLE 250G VELLANKI FOODS,112.0,115.0,230.0,2.0,2.608695652173913,17.391304347826086
BLACK GRAPES,119.0,132.47209523809522,24874.17,185.14,10.169760819349543,9.830239180650457
BLACK PEPPER WHOLE 50G,75.0,75.0,6600.0,88.0,0.0,20.0
BLACK ROUND BRINJAL,38.01,50.59836065573771,43584.51,858.6,24.878989146282205,0.0
BLACK SEEDED GRAPES,214.0,244.77678571428572,36073.39,158.4,12.573408717855191,7.426591282144809
BLUE BERRY,269.0,304.16511494252876,229863.0,768.0,11.561192659839746,8.438807340160254
BOMBAY RAWA 500g,35.0,37.5,3575.0,95.0,6.666666666666667,13.333333333333332
BOMBAY RAWA1Kg,65.0,64.96388888888889,9031.75,139.0,-0.05558643690939459,20.055586436909394
BOONDI 250g VELLANKI FOODS,145.0,145.5888888888889,32914.0,226.0,0.4044875219415496,19.59551247805845
BOONDI LADDU 250g VELLANKI FOODS,155.0,155.97560975609755,39465.0,257.0,0.6254886630179788,19.37451133698202
BOONDI MITAI ATCHU 250g VELLANKI FOODS,150.0,152.52336448598132,25870.0,170.0,1.6544117647058887,18.345588235294112
BOORELU 250g VELLANKI FOODS,150.0,151.01190476190476,15735.0,104.0,0.6700827749310192,19.329917225068982
