product,total_revenue,abc_class
Lotus Stem SAMBERRY,2846.25,C
MINUTE MAID PULPY 250 ML,2825.0,C
FLAX SEEDS KGS FLYBERRY,2814.56,C
AMUL FRUIT N NUT CHOCOLATE ILU 150g,2800.0,C
JIVIKA TURMERIC POWDER 100GMS,2760.0,C
GREEK YOGHURT 100g MILKY MIST,2760.0,C
RAISIN N ALMOND 150G CHOCOLATE AMUL,2750.0,C
IRANIAN DATES 500g ORIGINAL AM ENTERPRISES,2738.0,C
WHITE RAJMA 500g,2730.0,C
WHITE JOWAR 500g,2700.0,C
SUNFLOWER OIL COLDPRESSED 5L MESMARA,2690.0,C
PULIHORA PASTE 250G VELLANKI FOODS,2665.0,C
ALMONDO BAR 35g CHOCOLATE AMUL,2660.0,C
Alubukhar LOOSE KG FLYBERRY,2653.4,C
KINELY WATER 500ml,2650.0,C
CHICOOS SAPOTA JUICE,2640.0,C
WOOD APPLE,2634.79,C
SUGAR CANE PACK,2632.0,C
MASTI BUTTER MILK 200ml AMUL tetra,2625.0,C
IDLI KARAM 100g VELLANKI FOODS,2584.0,C
YOGURT MANGO 90g AKSHAYA KALPA,2580.0,C
COOKING BUTTER 100g AMUL UNSALTED,2558.0,C
BANANAS 30g FLYBERRY GOURMET,2548.0,C
DIAMOND MISRI 200G,2520.0,C
NUTMEG 50G,2480.0,C
LITTLE MILLET SAMELU 500g,2470.0,C
ROMAIN LETTUCE KG ENGISH ITEM SAMBERRY,2468.75,C
MUSTARD BIG 200g,2440.0,C
DABBAKAI,2415.0,C
I.Orange Pack of 4,2407.0,C
MANGO GINGER,2403.42,C
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,2396.0,C
FLAX SEED OIL 1L MESMARA,2396.0,C
BITTER CHOCOLATE 150g AMUL,2380.0,C
SPRITE PET  250ML,2360.0,C
GREEK YOGURT MIXED BERRY ZERO ADDED SUGAR 120g EPIGAMIA,2340.0,C
MILK SHAKE VANILLA 180ML MILKY MIST,2320.0,C
RED CHILLI PICKLE 250G VELLANKI FOODS,2295.0,C
CHIKKUDU SEED PACK,2284.98,C
FRESH PANEER BLOCK 200g AMUL,2280.0,C
SKYR YOGHURT 100g MILKYMIST,2280.0,C
HIMALAYAN HONEY 500g APIS,2275.0,C
MAIDA 1 KG,2275.0,C
MAGAYA PICKLE 250GMS VELLANKI FOODS,2270.0,C
EGGS 6PC UPF HEALTHY WHITE U N V,2225.0,C
WHITE PAV 200g SPENCERS AKSHAYA FOODS,2220.0,C
DERI DATES KG FLYBERRY,2215.8,C
AASHIRVAD CORIANDER PWD 100G,2205.7,C
FlyberryCashew180,2204.0,C
XTRA 200g JAR CONTINENTAL,2200.0,C
SET CURD 200g MILKY MIST,2178.0,C
COFFEE XTRA 100g JAR INSTANT SOUTH BLEND CONTINENTAL,2174.0,C
GREEK YOGURT STRAWBERRY ZERO ADD SUGAR 120g EPIGAMIA,2170.0,C
ORGANIC- CHEESE SLICES AKSHAYAKALPA,2160.0,C
RAW HONEY 950G BT ROYAL BEE PON,2160.0,C
AASHIRVAAD SALT 1KG,2160.0,C
PRM BROWN BREAD 400g MR BREADY NANDAS,2145.0,C
BELGIAN CHOCOLATE 125g AMUL,2142.0,C
WATER APPLE BOX,2139.0,C
COPRA POWDER 100G EVR,2136.75,C
CHICKEN BONE LESS PICKLE 250g VELLANKI FOODS,2125.0,C
XTRA SACHET 2.3G CONTINENTAL,2112.0,C
KODO MILLET ARIKALU 500G,2100.0,C
TABLE BUTTER 500G HERITAGE,2095.0,C
BIRYANI LEAFS 50G,2075.0,C
ALMONDO 200g CHOCOLATE AMUL,2070.0,C
CHEESE SLICES 100g HERITAGE,2070.0,C
CHEESE EASY OPEN CHIPLET CUBES 60X8X25g AMUL,2025.0,C
NANDA CREAM BUN VANILLA 60g,2010.0,C
FRUIT BASKET 200 SADGURU,2000.0,C
DARK CHOCOLATE 150g AMUL,2000.0,C
BITTER CHOCOLATE 150g 90% BITTER AMUL,2000.0,C
ELEPHANT SEEDLESS HONEY DATES400G+10,1990.0,C
MODERN BANANA PUDDING  CAKE 140g,1980.0,C
APPLE JUICE,1980.0,C
FRUIT BREAD 200g SML SPENCERS AKSHAYA NANDA,1980.0,C
POOJA PATRI PACK,1947.0,C
GUAVA Local,1940.93,C
VELLANIKI BITTER GOURD PAKODA 150G,1938.0,C
CHEESE SLICES 200g HERITAGE,1935.0,C
DEHYDRATED PINEAPPLE KG FLYBERRY,1922.4,C
CHERUKU GADDALU,1920.0,C
YELLOW JOWAR 500g,1920.0,C
TABLE BUTTER SALTED 200G MILKY MIST,1895.0,C
MODERN WOW PAV 200g,1890.0,C
BAJRA FLOUR 500G,1843.0,C
MALGUDI FILTER COFFEE 500g 60 DEGREE CONTINENTAL,1800.0,C
RUMANI MANGO KG LOOSE,1788.97,C
FLYBERRY SPICE OKRA CHIPS 25g,1782.0,C
KINLEY WATER 1Lt,1780.0,C
BAILLEY WATER  500ML,1746.1,C
AMLA PICKLE 250GMS VELLANKI FOODS,1740.0,C
TABLE BUTTER SALTED 100g MILKY MIST,1718.0,C
BARNYARD MILLET UDALU 500G,1700.0,C
MANGO MAGAYA  250g AHA,1700.0,C
COW GHEE 500ml PET JAR MILKYMIST,1692.0,C
Raw Pappaya,1678.86,C
SRI LALITHA HMT RICE 26KG,1670.0,C
GHEE 200ML PET JAR MILKY MIST,1650.0,C
PALLI GROUND NUT KARAM 100g VELLANKI FOODS,1628.0,C
JIVIKA COLD PRESSED SAFFLOWER OIL 1LTR,1619.99,C
simla mirchi bajji,1610.96,C
IDLY RICE  1Kg,1610.0,C
GINGER PICKLE 250g AHA,1600.0,C
MALGUDI COFFEE 500g 80 DEGREE CONTINENTAL,1598.0,C
DATES POWDER 180g FLYBERRY,1596.0,C
JIVIKA NATURALS PEANUT BUTTER500GMS,1596.0,C
CHEESE BLOCK 200G MILKY MIST,1570.0,C
FLYBERRY CASHEW 4 PIECE,1566.01,C
PAPPAYA JUICE,1550.0,C
VELLANLI RAGI RIBBON PAKODI 150G,1530.0,C
GREEK CEREALS YOGHURT 100g MILKY MIST,1520.0,C
TEENDA,1501.77,C
AASHIRVAD CHILLI PWD 200G,1500.0,C
CASHEW 320 COUNT 250 GM,1500.0,C
NANDA CRM BUN CHOCOLATE 60g,1485.0,C
AASHIRVAAD CRYSTAL SALT 1KG,1474.0,C
GULAB JAM MIX 200g MILKY MIST,1470.0,C
MANGO AVAKAYA 250g  AHA,1470.0,C
RED BANTHI POOLU KGS LOOSE,1451.33,C
YELLOW BANTHI POOLU KGS LOOSE,1449.43,C
TOMATO PICKLE  250g AHA,1440.0,C
GONGURA PICKLE 250g  AHA,1440.0,C
SOYAKURA,1401.56,C
AASHIRVAD TURMERIC PWD 100G,1400.0,C
COLD PRESSED WHITE SESAME OIL 500ML MESMARA,1400.0,C
PGB SOYA CHUNKS SMALL 200G,1400.0,C
SAMBAR PODI 100g VELLANKI FOODS,1392.0,C
CHEESE CUBES 120g MILKY MIST,1373.0,C
NANDA CRM BUN PINEAPPLE 60g,1365.0,C
GAJANAN ORANGE PRM HMT RICE 1Kg,1360.0,C
LASSI BLUBERRY 180ml MILKYMIST,1355.0,C
SWEET ALMOND OIL100ML MESMARA,1347.0,C
FRUIT BASKET 250 RAJU,1330.0,C
CHAMANTHI FLOWERS POOLU KG LOOSE,1308.87,C
gangavyalukura,1272.93,C
PGB SOYA CHUNKS 200G MEDIUM,1260.0,C
FRUIT BOWL NRG,1260.0,C
ENG ITEM CELERY SAMBERRRY,1257.3,C
FlyberryPrunes,1255.54,C
AASHIRVAD CHILLI PWD 500G,1250.0,C
BAILLEY  WATER 1LTR,1234.0,C
KARIVEPAKU KARAM 100g VELLANKI FOODS,1224.0,C
DEHYDRATED KIWI KG FLYBERRY,1214.52,C
YELLOW MELON,1210.02,C
LIME PICKLE 250g VELLANKI FOODS,1210.0,C
YELLOW DRAGON KG LOOSE,1206.48,C
PREMIUM FREEZE DIRED COFFEE 50gm JAR CONTINENTAL,1200.0,C
MAIDA 500g,1200.0,C
MILK SHAKE STRAWBERRY 180ML HERITAGE,1200.0,C
CRUNCHY BANANA CHIPS 250g FLYBERRY,1196.0,C
CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,1193.7,C
TOMATO PICKLE 250G VELLANKI FOODS,1190.0,C
MANGO JUICE,1190.0,C
RED RICE 1KG,1183.0,C
CHEESE CUBES 120g HERITAGE,1178.35,C
MAREDUKAYA KG LOOSE,1176.74,C
PANDUMIRAPAKAYA 250g PICKLE AHA,1170.0,C
DRY COCONUT KG FLYBERRY,1162.8,C
AMUL PROCESSED CHEESE BLOCK200g,1160.9,C
BANANAJUICE,1150.0,C
CHOWCHOW,1141.94,C
RAW HONEY 500g BT ROYAL BEE PON,1140.0,C
MALGUDI COFFEE 200g 60 DEGREES CONTINENTAL,1126.98,C
CRUNCHY BANANA CHIPS 100g FLYBERRY,1125.0,C
LASSI 200ml MILKY MIST UHT ROSE,1120.0,C
AMLA CANDY KG FLYBERRY,1111.32,C
KISMIS GREEN 250g,1110.0,C
NATURAL THICK CURD CUP 400g ID FRESH,1100.0,C
JIVIKA CORIANDER POWDER 100GMS,1100.0,C
POMEGRANATE SEEDS,1089.0,C
Tulsi Infused Honey 500g BT,1080.0,C
KNOOL COOL,1078.2,C
STAR FRUIT,1068.0,C
MILLET IDLY RAWA 500GMS SRI AHARYA,1068.0,C
POKCHOY LEAF SAMBERRY,1061.06,C
KANDI KARAM 100g  VELLANKI FOODS,1056.0,C
MANGO AVAKAYA pPICKLE 500g AHA,1050.0,C
URAD BLACK WHOLE 500G,1020.0,C
MANGO MAGAYA 500g AHA,1000.0,C
GINGER PICKLE 500g AHA,1000.0,C
MALGUDI COFFEE 200g 80 DEGREES CONTINENTAL,1000.0,C
BUFFALO GHEE 500ml JIVIKA ORGANICS,998.0,C
LOTUS TANGO 20G,987.7,C
Beetroot Juice,980.0,C
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,975.0,C
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,960.0,C
MULTIGRAIN HEALTH MIX 500GMS SRI AHARYA,954.0,C
THIS CREAMY COFFEE MOCHA 22g CONTINENETAL,950.0,C
ROSE FLOWER POOLU KG LOOSE,942.63,C
URAD BLACK SPLIT 500g,935.0,C
CINNAMON DALCHINI KG FLYBERRY,927.1999999999999,C
ELEPHANT SEEDED DATES 400G(CUPS) (1+1 OFFER),920.0,C
AJWA DATES KGS FLYBERRY LOOSE KGS,915.55,C
MUKHWAS TINIMINI KG FLYBERRY,907.0600000000001,C
CHEDDAR CHEESE 200g MILKY MIST,900.0,C
FRUIT BASKET 300 SADGURU,900.0,C
AMLA PICKLE  250g AHA,900.0,C
ALMOND REGULAR  250 GM,900.0,C
MULAGAKU KARAM 100g VELLANKI FOODS,888.0,C
GONGURA PANDU MIRAPAKAYA PICKLE  500g AHA,874.99,C
SHRIKAND MANGO 100g MILKY MIST,855.0,C
FRUIT BASKET 170 SADGURU,850.0,C
PRM CHITTIMUTYALU RICE 1KG GAJANAN,850.0,C
SAMBAR ONION CHENNAI,846.72,C
CHEESE CUBES 200g MILKY MIST,845.0,C
KOTHIMEERA CORIANDER KARAM 100g VELLANKI FOODS,844.0,C
KURA KARAM 100g VELLANKI FOODS,840.0,C
MASTI BUTTER MILK 1Lt AMUL,840.0,C
SRI LALITHA BROWN RICE 5KG SONAMASOORI,830.0,C
LEMON PICKLE  250g AHA,825.0,C
TAMARIND PICKLE 250g AHA,810.0,C
GONGURA PANDU MIRAPAKAYA PICKLE 250g  AHA,810.0,C
VINAYAKA VIGRAHAM 8 INCH,801.0,C
BASIL LEAF KG ENGLISH ITEM SAMBERRY,788.98,C
COCONUT KARAM 100G  VELLANKI FOODS,772.0,C
YELLOW JOWAR SORGHUM RAWA 500G SRI AHARYA,760.0,C
TOFU PANEER 200g SAI RATNA FOODS,750.5,C
SPECIALE COFFEE 200g JAR CONTINENTAL,749.0,C
JEERA PAPAD 200G EVR,748.0,C
AMERI DATES KG FLYBERRY,745.92,C
RASAM PODI 100g VELLANKI FOODS,728.0,C
LOW GI RICE 1Kg AISHWARYA,720.0,C
KEERA JUICE,720.0,C
FOXTAIL MILLET KORRALU BIYYAM 500g,720.0,C
CHEESE SPREAD GARLI 200g MILKY MIST,715.0,C
GARAM MASALA 100g VELLANKI FOODS,708.0,C
BAMBINO ROASTED VERMICELLI 800G,702.0,C
Apple Milk Shake,700.0,C
AMLA PICKLE  500g AHA,700.0,C
FILTER COFFEE 150ML ID FRESH,700.0,C
POTATO CHIPS 200G EVR,680.0,C
FRUIT BASKET 200,675.0,C
IDLY RAWA 500g,665.0,C
COCONUT SLICE KGS FLYBERRY,657.06,C
GREEK HONEY AND FIG YOGHURT 100g MILKY MIST,640.0,C
IDLY KARAM FLYBERRY,631.0,C
MODERN BURGER BUN,630.0,C
SHRIKAND ELAICHI 100g MILKY MIST,630.0,C
HEKTAPY HEALTHY DEL RAGI 125G,625.0,C
HEKATPY QUINO COOKIES 125g,625.0,C
HEKTAPY MULTI MILLET S.N,625.0,C
MILLETS UPMA RAWA 500GMS SRI AHARYA,623.0,C
IMLI POP KG FLYBERRY,620.16,C
SRI LALITHA IDLY RAVA 1KG,600.0,C
FRUIT BASKET 120 SADGURU,600.0,C
THUMS UP 1Lt PET BOTTLE,600.0,C
DRIED BLACKBERRY KG FLYBERRY,598.0,C
LOTUS KAJOOS 13.5 G,591.5,C
VINAYAKA VIGRAHAM 12 INCH,590.0,C
PERI PERI CASHEW FLYBERRY,575.0999999999999,C
ELEPHANT FOREST HONEY 250G 1+1,574.6,C
THAI RED CHILLI KG ENGLISH ITEM SAMBERRY,561.72,C
Mango Juices,560.0,C
AMUL CHEESE SPREAD PLAIN 200g,554.0,C
SPROUTED RAGI FLOUR 500GMS SRI AHARYA,552.0,C
CHEESE SPREAD 200g AMUL,550.0,C
FILTER COFFEE 150ML NEW BOLD ID FRESH,540.0,C
CUMIN JEERA KG FLYBERRY,528.2,C
PANDU MIRAPAKAI PICKLE 500g AHA,525.0,C
GONGURA PICKLE 500g  AHA,525.0,C
TOMATO PICKLE  500g AHA,525.0,C
CHAKKI ATTA GODHUMA PINDI 1Kg,520.0,C
STRAWBERRY LOCAL ANAND BOX,518.0,C
VANILLA FLAVOURED MIILK 180ML HERITAGE,510.0,C
BABY CORN PEELED SAMBERRY,506.91999999999996,C
MAAZA 600ML,504.0,C
BANANA LEAF,500.0,C
ROASTED CHANA 200G,500.0,C
POMEGRANATE CANE,500.0,C
HEKATPY BUCK WHEAT COOKIES 125g,500.0,C
HAZELNUT CHOCOLATE SPREAD 200g,499.0,C
HIMALAYAN HONEY 225g APIS,495.0,C
CORN FLAKES 200G EVR,490.0,C
FRESH DATES YELLOW BOX ANAND,489.30000000000007,C
WHITE JOWAR SORGHUM RAWA 500GMS SRI AHARYA,483.0,C
SPRITE 600ML,480.0,C
MILLET DOSA BATTER 1Kg DSL,480.0,C
NALLA KARAM 250g AHA,480.0,C
WHEELS PAPAD 200g EVR,480.0,C
FINGER CHIPS PAPAD 200G EVR,478.4,C
BAT PAPAD 200G EVR,478.4,C
BANANA TREE,472.0,C
PLAIN CUP PAPAD 200G EVR,468.0,C
TUTTI FRUITY KG FLYBERRY,467.94,C
AASHIRVAD CORIANDER PWD 200G,460.0,C
NARINJAAKAYA KG LOOSE,459.65,C
TNS DATES 200g,450.0,C
LEMON PICKLE 500g  AHA,450.0,C
DAMPUDU BIYYAM 1Kg AISHWARYA,445.0,C
IGURU KARAM 100g VELLANKI FOODS,444.0,C
TATA IODISED CRYSTAL SALT 1KG,440.0,C
APPLE MILKSHAKES,440.0,C
NALLA KARAM 100g VELLANKI FOODS,434.0,C
TRIANGLE PAPAD 200G EVR,432.0,C
CALIFORNIA BLACK seedless GRAPES,427.18,C
BAMBINO ROASTED VERMICELI 500G,420.0,C
APPLE BARE,413.30999999999995,C
RED CHILLI PAPAD 200G EVR,408.0,C
GARLIC PICKLE 250g AHA,400.0,C
CRUNCHY BANANA CHIPS 65g FLYBERRY,396.0,C
GOLDEN KIWI FRUIT BIG,395.0,C
BITTER GAURD KARAM PODI 100g VELLANKI FOODS,388.0,C
STAR PAPAD 200G EVR,384.0,C
SRI DIVYA DEEPARDHANA OIL 910 ML,380.0,C
KASOORI METHI PAPAD 200G EVR,375.0,C
HEKTAPY RAJGIRI COOKIES 125g,375.0,C
HEKTAPY HEALTHY DEL JOWAR 125G,375.0,C
SPICE ALMOND DRAGEE KG LOOSE FLYBERRY,373.83,C
GRAPE JUICE,370.0,C
THUMS UP  600ml PET BOTTLE,360.0,C
IDLY RAWA ORANGE 1KG AISHWARYA,360.0,C
PUTNALU KOBBARIKARAM 250g AHA,360.0,C
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,355.0,C
SMALL AMLA,354.14,C
CORN FLOUR 200g EVR,342.0,C
COKE 250ML,340.0,C
ORANGE DRAGES KG LOOSE FLYBERRY,322.28,C
ENG ITEM PARSLEY SAMBERRY,320.46,C
FRUIT BASKET 450 SADGURU,320.0,C
BAMBINO VERMICELLI 500GM,318.0,C
red thotakura,311.15,C
THREE MANGO RAI PWD 500G,309.0,C
CREAMY COFFEE HAZELNUT 22g CONTINENTAL,300.0,C
LOTUS ECLAIRS  250G,300.0,C
LEMON JUICE,300.0,C
ARTISANAL CURD 400g EPIGAMIA,300.0,C
DRAGAN FRUIT JUICE,300.0,C
THIS IS CARAMEL CREAMY COFFEE22g CONTINENTAL,300.0,C
FLYBERRY CRUNCHY BANANA CHIPS 25g,297.0,C
THREE MANGO MIRCHI PWD 200G,290.0,C
THUMMIKURA,279.97,C
LETTUCE RED ENG ITEM SAMBERRY,275.15000000000003,C
WHOLE WHEAT BREAD 400g MR BREADY NANDAS,275.0,C
CHIKKUDUKAYA PICKLE 250g AHA,270.0,C
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,250.0,C
DRIED DATES YELLOW250 GM,250.0,C
ASPARAGUS KG SAMBERRY,249.2,C
CHEESE SPREAD PEPPER 200g MILKY MIST,240.0,C
FRUIT BASKET 240 SADGURU,240.0,C
MUNAGAKU KARAM 250g AHA,240.0,C
KOBBARI KARAM 250g AHA,240.0,C
KANDI KARAM 250GM AHA,240.0,C
KARIVEPAKU KARAM 250g AHA,240.0,C
FlyberryAlmondRoastedSalted,236.0,C
CASHEW WITH CHOCO COATED FLYBERRY,233.2,C
BITTER GUARD PICKLE 250G VELLANKI FOODS,230.0,C
SAUNF 100gm EVR,225.0,C
CHEESE SPREAD GARLIC200G AMUL,224.0,C
TAMARIND PICKLE250G VELLANKI FOODS,220.0,C
MARATHI MOGGA 50gms EVR,210.0,C
MODERN  CRUST PIZZA BASE 150g,210.0,C
IMP ORANGE CANE,200.0,C
AASHIRVAD CHILLI PWD 100G,200.0,C
AVOCADO JUICE,200.0,C
BUTTER MILK 170ML HERITAGE SACHET,200.0,C
WHITE JOWAR RAWA 500g,200.0,C
AMUL INDIA TWILIGHT TRYST 125g,200.0,C
OKRA CHIPS VACUUM FRIED 20g FLYBERRY,196.0,C
NANDAS Mr BREADRY ZERO MAIDA 450g,180.0,C
ANJUR JUICE,180.0,C
MANGO BELLAM AVAKAI 250g AHA,180.0,C
FREEDOM MUSTARD OIL 1 Lt,178.0,C
TAMARIND PICKLE 500g AHA,175.0,C
ROASTED SALTED ALMOND  KGS FLYBERRY,174.9,C
DEHYDRATED PAPAYA  KGS FLYBERRY,173.34,C
ROUND CHEKKALU 250g VELLANKI FOODS,160.0,C
ELEPHANT FOREST HONEY 500G 1+1,159.5,C
THAMALAPAKULU,155.0,C
THIS CREAMY CARAMEL 18G CONTINENTAL,150.0,C
THIS IS CAPPUCCINO 22g CONTINENTAL,150.0,C
CHICKPEAS 50g FLYBERRY GOURMET,147.0,C
FLYBERRY CRISPY SWEET CORN 12g,147.0,C
ANJEER BOX PACK ANAND,144.0,C
MASALA KARAM 250g AHA,140.0,C
JUBJUB GUAVA JUICE,140.0,C
FlyberryPeriPeriAlmond,132.0,C
DEHYDRATED GINGER  KGS FLYBERRY,126.27,C
THREE MANGO RAI PWD 200G,126.0,C
HEKATPY PEARL MILLET COOKIE 125g,125.0,C
HEKTAPY OAT COOKIES  125g,125.0,C
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,125.0,C
RED SEEDLESS GRAPES,122.95,C
ORANGE JUICE,120.0,C
Moosambi Economy,106.53,C
FLYBERRY SHAHJEERA CARAWAY SEEDS,104.94,C
POPU SEEDS LOOSE,100.0,C
FLYBERRY SPICED CHICKPEAS CRISP 31g,99.0,C
SPICED TARO CHIPS 30g FLYBERRY GOURMET,99.0,C
ASL  IDLY & DOSA BATTER  1KG,95.0,C
CUCUMBER WHITE,90.8,C
DOUBLE BEANS,85.44,C
ASH GOURD JUICE,80.0,C
IODIZED SALT 1KG PON,80.0,C
Snake Gourd Small,79.6,C
WHEAT GRASS,78.0,C
koyakura,75.06,C
IDLI POWDER AKA GUNDPOWDER AKA KARAM PODI PREMIUM KG LOOSE FLYBER,73.51,C
MOONGDAL RICE RAWA 500G AISHWARYA,70.0,C
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,70.0,C
BRINTAN TOFU PANEER 200G,69.0,C
THUMS UP 1.25L,68.0,C
FRESH CREAM 200ML HERITAGE,65.0,C
VARI NUKA AISHWARYA 500G,60.0,C
WATER MELON PLATE,60.0,C
Mango Milk Shake,60.0,C
QUINOA SEEDS KGS FLYBERRY,55.8,C
MILK BREAD 350g SPENCERS GOLDEN CRUST NANDA,55.0,C
FILTER COFFE STRONG 5 10ml ID FRESH,55.0,C
PARSLEY PACK,50.0,C
CDM CRACKLE 36G,50.0,C
THADKA MIX POPU DINUSULU 200G,48.0,C
SUN MELON YELLOW,46.73,C
YELLOW CAULIFLOWER PC,45.0,C
LETTUCE ROCKET ARUGULA KG ENGLISH ITEM SAMBERRY,36.66,C
REDCHILLY,33.49,C
NUVULA KARAM FLYBERRY,31.9,C
COW MILK 500ml GOLDEN HERITAGE,31.0,C
HOME DELIVERY CHARGES,30.0,C
mulagaku,18.06,C
CARRY BAG SML 1Kg HOLDING CAPACITY,12.0,C
BRITANNIA MILK BIKIS 71GM,10.0,C
