product,total_revenue,abc_class
CHAMA DUMPA,38453.09,C
ULAVACHARU 250g HASSTA,38286.0,C
ELEPHANT YAM,37894.58,C
EGGS 12PS FARM MADE FREE RANGE U N V,37859.0,C
MIXTURE 250g VELLANKI FOODS,37369.5,C
FLYBERRY MEDJOUL MAJESTIC DATES 400g BOX,36963.0,C
BLACK SEEDED GRAPES,36073.39,C
PANEER 200g SINGLE BLOCK MILKY MIST,35820.2,C
PUDHINA,35355.33,C
THOTAPURI MANGO,34772.34,C
CASHEW 320 KG FLYBERRY,34506.9,C
GHEE ARISELU 250g VELLANKI FOODS,33515.0,C
WALNUT REGULAR  KGS FLYBERRY,32957.28,C
RIBBON PAKODI 250g VELLANKI FOODS,32950.0,C
BOONDI 250g VELLANKI FOODS,32914.0,C
ORGANIC MALAI PANEER 200g AKSHAYAKALPA,32593.0,C
WHITE RADISH,32145.68,C
EGGS 6PC FARM MADE FREE RANGE U N V,31290.0,C
SNAKE GOURD,30806.8,C
RAW PEANUT 1KG,29674.0,C
G ELAICHI 50g,29610.0,C
DOODH PEDA 200g HERITAGE,29419.0,C
Pomogranate Pack of 4,29393.0,C
SIMLA APPLE,29255.1,C
TOMATO (APPLE) hybrid,29094.51,C
CORN FLAKES MIXTURE250g VELLANKI FOODS,28884.7,C
BUFFALO CURD 400g SIDS FARM,28815.0,C
GOLD DROP SUNFLOWER OIL 1Lt pouch,28504.2,C
FLYBERRY DREAMY DERI DATES 220g,27930.0,C
WHOLE MEAL BROWN BREAD 400g SPENCERS AKSHAYA FOODS,27445.0,C
CHINTA CHIGURU,27442.06,C
PISTA GREEN SHELLED KG FLYBERRY,27287.05,C
ROASTED SALTED PISTA KG FLYBERRY,27159.99,C
BACHALAKURA,27139.46,C
Royalaga Pack of 4,27061.0,C
GARLIC PEELED BOX,26630.8,C
Small Bitter Gourd,26423.58,C
PARVAL,26222.33,C
BOONDI MITAI ATCHU 250g VELLANKI FOODS,25870.0,C
SPECIAL  LONG LIFE MILK 500ML HERITAGE,25423.0,C
CASHEW BROKEN 2 PIECE  KGSFLYBERRY,25410.0,C
BABY POTATO,25345.3,C
CHICOOS(Sapota),25203.0,C
RAW PEANUT500g,24895.5,C
BLACK GRAPES,24874.17,C
DOUBLE HORSE URAD ROUND 1KG,24720.0,C
LONG CHILLIES,24464.83,C
TOOR DAL PRM UNPOLISHED FATKA 1KG,24365.0,C
SET CURD 1kg BUCKET MILKY MIST,24120.0,C
KIMIA DATES PLASTIC BOX 400G ORIGINAL,23985.0,C
NUVVULA CHIKKI 250g VELLANKI FOODS,23915.0,C
PUMPKIN SEEDS KG FLYBERRY,23855.56,C
Red Banana,23570.56,C
TOOR  DAL FATKA POLISHED 1kg,23307.0,C
FREEDOM RICE BRAN 1LTR,22978.0,C
BABY CORN PEELED,22932.0,C
NUTRI+ WITH IMMUNITY BOOSTERS - 30 EGGS TRAY ABHI EGGS,22910.0,C
VENNA VUNDALU 250GMS VELLANKI FOODS,22545.0,C
MANGO JELLY ROLLS 250g VELLANKI FOODS,22480.0,C
COW GHEE 350g SIDS FARM,22100.0,C
NAVARATAN MIXTURE 250g VELLANKI FOODS,21785.0,C
DILKUSH GRAPES KG LOOSE,21595.82,C
SMALL CAPSICUM,21541.67,C
IDLY BATTER 900g DSL,21280.0,C
WHOLE WHEAT BREAD 400g  SPENCERS AKSHAYA FOODS,21065.0,C
DALMOTI 250g VELLANKI FOODS,20920.0,C
JEERA 200g,20625.0,C
SWEET CORN SEED,20500.0,C
LANGADA MANGO KG LOOSE,20394.18,C
SANNAPOOSA 250g VELLANKI FOODS,20310.0,C
MASALA PALLI 250GMS VELLANKI FOODS,20220.0,C
BIG BRINJAL BLUE,20074.45,C
CURD CUP 400GHERITAGE,20063.0,C
ABC CANE JUICE,20000.0,C
NETHI BHERAKAI,19950.29,C
CALIFORNIAN ALMOND REGULAR KG  FLYBERRY,19940.55,C
GOLDEN COW GHEE 500 ML HERITAGE,19875.0,C
TOTAL CURD 120GMS HERITAGE,19790.0,C
