product,sales_velocity,turnover_proxy,total_quantity,total_revenue
BROWN EGGS 6PC UPF HEALTHY U N V,0.3163841807909605,115.48022598870058,56.0,5544.0
BROWN RICE 5kg,0.0821917808219178,30.0,12.0,4740.0
BROWN RICE HMT 1kg,0.288135593220339,105.16949152542374,51.0,4335.0
BUFFALO CURD 400g SIDS FARM,1.8626373626373627,679.8626373626374,339.0,28815.0
BUFFALO GHEE 250g  VELLANKI FOODS,1.7456140350877194,637.1491228070175,199.0,44775.0
BUFFALO GHEE 350g SIDS FARM,0.25280898876404495,92.2752808988764,45.0,18230.0
BUFFALO GHEE 500ml JIVIKA ORGANICS,0.08333333333333333,30.416666666666664,2.0,998.0
BUSH BEANS,11.993770491803279,4377.726229508196,2194.86,246068.31
BUTTER GARLIC N HERBS 100g AMUL,0.4175824175824176,152.41758241758242,76.0,5209.1
BUTTER MILK 170ML HERITAGE SACHET,10.0,3650.0,20.0,200.0
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,2.4444444444444446,892.2222222222223,176.0,3520.0
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,1.6938775510204083,618.265306122449,166.0,3320.0
BUTTER SCHOOL PACK 100g AMUL,0.45045045045045046,164.4144144144144,50.0,3710.0
BUTTER UNSALTED 500G AMUL,0.06432748538011696,23.47953216374269,11.0,3349.0
BUTTON MUSHROOM,18.89071038251366,6895.109289617486,3457.0,168699.54
Banana Stem,1.120879120879121,409.1208791208791,204.0,5916.0
Banana Yalakki,8.947213114754097,3265.7327868852453,1637.34,224911.6
Beetroot Juice,0.0979020979020979,35.73426573426573,14.0,980.0
Black Chilly,17.449234972677594,6368.970765027322,3193.21,253825.32
CABBAGE,17.08065573770492,6234.439344262296,3125.76,78451.57
CALIFORINA RED GRAPES,1.5791803278688525,576.4008196721312,288.99,123298.41
CALIFORNIA BLACK seedless GRAPES,1.22,445.3,1.22,427.18
CALIFORNIAN ALMOND PREMIUM KG FLYBERRY,0.12333333333333332,45.016666666666666,22.2,39896.82
CALIFORNIAN ALMOND REGULAR KG  FLYBERRY,0.10371584699453552,37.85628415300547,18.98,19940.55
CAPSICUM,10.326448087431695,3769.1535519125687,1889.74,137833.5
CAPSICUM RED SAMBERRY,0.9549180327868853,348.5450819672131,174.75,58228.08
CAPSICUM YELLOW SAMBERRY,1.0805464480874318,394.39945355191264,197.74,66726.47
CARROT,35.93890710382514,13117.701092896175,6576.82,410615.81
CARROT JUICE,0.3333333333333333,121.66666666666666,58.0,4060.0
CARROT N BEETROOT JUICE,0.23076923076923078,84.23076923076924,42.0,2940.0
CARRY BAG 8Kg HOLDING CAPACITY,18.306010928961747,6681.693989071037,3350.0,40185.6
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,48.540983606557376,17717.45901639344,8883.0,53298.0
CARRY BAG SML 1Kg HOLDING CAPACITY,0.028368794326241134,10.354609929078014,4.0,12.0
CASHEW 320 COUNT 250 GM,0.1724137931034483,62.931034482758626,5.0,1500.0
CASHEW 320 KG FLYBERRY,0.16472527472527473,60.12472527472528,29.98,34506.9
CASHEW BROKEN 2 PIECE  KGSFLYBERRY,0.12686813186813187,46.30686813186813,23.09,25410.0
CASHEW TIKKA FLAVOUR FLYBERRY,0.053816793893129766,19.643129770992363,7.05,12682.8
CASHEW WITH CHOCO COATED FLYBERRY,0.011666666666666667,4.258333333333334,0.21000000000000002,233.2
CAULIFLOWER,20.060109289617486,7321.939890710382,3671.0,127826.1
CDM CRACKLE 36G,1.0,365.0,1.0,50.0
CHAKKI ATTA GODHUMA PINDI 1Kg,0.22857142857142856,83.42857142857143,8.0,520.0
CHAMA DUMPA,4.69792349726776,1714.7420765027323,859.72,38453.09
CHAMANTHI FLOWERS POOLU KG LOOSE,1.5,547.5,3.0,1308.87
CHANA DAL 1Kg,0.18181818181818182,66.36363636363636,32.0,4113.0
CHANA DAL 250g VELLANKI FOODS,0.22988505747126436,83.9080459770115,40.0,5250.0
CHANA DAL 500g,0.6927710843373494,252.86144578313252,115.0,7445.0
CHAT MURMURA 500 GM,0.4022346368715084,146.81564245810057,72.0,4680.0
CHEDDAR CHEESE 200g MILKY MIST,0.044444444444444446,16.22222222222222,6.0,900.0
CHEESE BLOCK 200G HERITAGE,0.18285714285714286,66.74285714285715,32.0,4217.0
CHEESE BLOCK 200G MILKY MIST,0.08396946564885496,30.64885496183206,11.0,1570.0
CHEESE CUBES 120g HERITAGE,0.104,37.96,13.0,1178.35
CHEESE CUBES 120g MILKY MIST,0.07453416149068323,27.20496894409938,12.0,1373.0
CHEESE CUBES 200g MILKY MIST,0.0423728813559322,15.466101694915254,5.0,845.0
CHEESE EASY OPEN CHIPLET CUBES 60X8X25g AMUL,0.11194029850746269,40.85820895522388,15.0,2025.0
CHEESE SLICE 100G MILKY MIST,0.6077348066298343,221.8232044198895,110.0,8664.47
CHEESE SLICES 100g AMUL 5PC PACK,0.47770700636942676,174.36305732484075,75.0,6415.0
CHEESE SLICES 100g HERITAGE,0.5,182.5,36.0,2070.0
CHEESE SLICES 200g AMUL 10PC PACK,0.4161849710982659,151.90751445086707,72.0,10199.57
CHEESE SLICES 200g HERITAGE,0.09278350515463918,33.8659793814433,9.0,1935.0
CHEESE SLICES 200g MILKYMIST,0.3131868131868132,114.31318681318682,57.0,8514.0
CHEESE SPREAD 200g AMUL,0.1282051282051282,46.79487179487179,5.0,550.0
CHEESE SPREAD GARLI 200g MILKY MIST,0.043795620437956206,15.985401459854016,6.0,715.0
CHEESE SPREAD GARLIC200G AMUL,0.18181818181818182,66.36363636363636,2.0,224.0
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,0.02127659574468085,7.76595744680851,3.0,355.0
CHEESE SPREAD PEPPER 200g MILKY MIST,0.018691588785046728,6.822429906542055,2.0,240.0
CHEGODI 250g VELLANKI FOODS,1.934065934065934,705.934065934066,352.0,51264.0
CHEKKARAKELI BANANA,4.690928961748634,1712.1890710382515,858.44,105288.19
CHERRY LOCAL ANAND,4.966666666666667,1812.8333333333335,298.0,60574.0
