product,unit_price,estimated_margin,total_revenue,quantity_sold,revenue_weight
BITTER GAURD KARAM PODI 100g VELLANKI FOODS,64.66666666666667,0.30000000000000004,388.0,6.0,1.5279304053690924e-05
BITTER GOURD,58.36898876404494,0.30000000000000004,42064.89,721.89,0.0016565006296264504
BITTER GUARD PICKLE 250G VELLANKI FOODS,115.0,0.3,230.0,2.0,9.057319413270393e-06
BLACK GRAPES,132.47209523809522,0.30000000000000004,24874.17,185.14,0.0009795360992608173
BLACK PEPPER WHOLE 50G,75.0,0.3,6600.0,88.0,0.00025990568751123734
BLACK ROUND BRINJAL,50.59836065573771,0.30000000000000004,43584.51,858.6,0.0017163427327864242
BLACK SEEDED GRAPES,244.77678571428572,0.3000000000000001,36073.39,158.4,0.0014205574589107566
BLUE BERRY,304.16511494252876,0.30000000000000004,229863.0,768.0,0.009051924401272053
BOMBAY RAWA 500g,37.5,0.3,3575.0,95.0,0.00014078224740192023
BOMBAY RAWA1Kg,64.96388888888889,0.3,9031.75,139.0,0.0003556671504817603
BOONDI 250g VELLANKI FOODS,145.5888888888889,0.3,32914.0,226.0,0.0012961417876886162
BOONDI LADDU 250g VELLANKI FOODS,155.97560975609755,0.3,39465.0,253.0,0.0015541178723683306
BOONDI MITAI ATCHU 250g VELLANKI FOODS,152.52336448598132,0.3,25870.0,170.0,0.0010187515357448047
BOORELU 250g VELLANKI FOODS,151.01190476190476,0.3,15735.0,104.0,0.0006196387868165636
BOTTLE GOURD,37.21841530054645,0.30000000000000004,242595.43,6567.0,0.009553323033520342
BRINTAN TOFU PANEER 200G,69.0,0.30000000000000004,69.0,1.0,2.7171958239811176e-06
BRITANNIA MILK BIKIS 71GM,10.0,0.3,10.0,1.0,3.937964962291475e-07
BROWN ANJEER BOX TURKEY,129.0,0.30000000000000004,41151.0,319.0,0.0016205119616325649
BROWN CHANA 500g,65.0,0.3,7020.0,108.0,0.00027644514035286155
BROWN EGGS 6PC UPF HEALTHY U N V,96.84782608695652,0.30000000000000004,5544.0,57.0,0.00021832077750943938
BROWN RICE 5kg,395.0,0.3,4740.0,12.0,0.00018665953921261593
BROWN RICE HMT 1kg,85.0,0.3000000000000001,4335.0,51.0,0.00017071078111533544
BUFFALO CURD 400g SIDS FARM,85.0,0.3000000000000001,28815.0,339.0,0.0011347246038842884
BUFFALO GHEE 250g  VELLANKI FOODS,225.0,0.3,44775.0,199.0,0.001763223811866008
BUFFALO GHEE 350g SIDS FARM,406.2162162162162,0.3,18230.0,45.0,0.0007178910126257359
BUFFALO GHEE 500ml JIVIKA ORGANICS,499.0,0.3000000000000001,998.0,2.0,3.930089032366892e-05
BUSH BEANS,114.64371584699452,0.30000000000000004,246068.31,2194.86,0.00969008383110277
BUTTER GARLIC N HERBS 100g AMUL,68.50185185185185,0.3,5209.1,76.0,0.00020513253285072523
BUTTER MILK 170ML HERITAGE SACHET,10.0,0.3,200.0,20.0,7.87592992458295e-06
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,20.0,0.3,3520.0,176.0,0.00013861636667265992
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,20.0,0.3,3320.0,166.0,0.00013074043674807698
BUTTER SCHOOL PACK 100g AMUL,74.1891891891892,0.3,3710.0,50.0,0.0001460985001010137
BUTTER UNSALTED 500G AMUL,304.45454545454544,0.3,3349.0,11.0,0.0001318824465871415
BUTTON MUSHROOM,48.91469945355191,0.30000000000000004,168699.54,3457.0,0.006643328776746892
Banana Stem,29.0,0.30000000000000016,5916.0,204.0,0.00023297000716916366
Banana Yalakki,137.39494505494505,0.30000000000000004,224911.6,1637.34,0.008856940004129153
Beetroot Juice,70.0,0.3,980.0,14.0,3.8592056630456454e-05
Black Chilly,78.74098360655738,0.30000000000000004,253825.32,3193.21,0.009995552167024217
CABBAGE,24.739945355191256,0.30000000000000004,78451.57,3125.76,0.0030893953389675706
CALIFORINA RED GRAPES,439.6092948717949,0.3000000000000001,123298.41,288.99,0.004855448184862488
CALIFORNIA BLACK seedless GRAPES,349.0,0.30000000000000004,427.18,1.22,1.6822198725916723e-05
CALIFORNIAN ALMOND PREMIUM KG FLYBERRY,1797.6623376623377,0.3,39896.82,22.2,0.0015711227926684976
CALIFORNIAN ALMOND REGULAR KG  FLYBERRY,1050.0,0.3,19940.55,18.98,0.0007852518722882127
CAPSICUM,71.63469945355192,0.30000000000000004,137833.5,1889.74,0.0054278349363000205
CAPSICUM RED SAMBERRY,332.7814525139665,0.30000000000000004,58228.08,174.75,0.00229300138861505
CAPSICUM YELLOW SAMBERRY,337.52329608938544,0.30000000000000004,66726.47,197.74,0.0026276650091739324
CARROT,62.026721311475406,0.30000000000000004,410615.81,6576.82,0.016169906727429333
CARROT JUICE,70.0,0.3,4060.0,58.0,0.00015988137746903388
CARROT N BEETROOT JUICE,70.0,0.3,2940.0,42.0,0.00011577616989136936
CARRY BAG 8Kg HOLDING CAPACITY,11.99950819672131,0.3000000000000001,40185.6,3350.0,0.001582494847886603
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,6.0,0.3000000000000001,53298.0,8883.0,0.0020988565656021104
CARRY BAG SML 1Kg HOLDING CAPACITY,3.0,0.3000000000000001,12.0,4.0,4.72555795474977e-07
CASHEW 320 COUNT 250 GM,300.0,0.3,1500.0,5.0,5.9069474434372126e-05
CASHEW 320 KG FLYBERRY,1150.0,0.3,34506.9,29.98,0.001358869631572957
CASHEW BROKEN 2 PIECE  KGSFLYBERRY,1100.0,0.3,25410.0,23.09,0.001000636896918264
CASHEW TIKKA FLAVOUR FLYBERRY,1800.0,0.3,12682.8,7.05,0.0004994442202375032
CASHEW WITH CHOCO COATED FLYBERRY,1100.0,0.3,233.2,0.21000000000000002,9.18333429206372e-06
CAULIFLOWER,34.70950819672131,0.30000000000000004,127826.1,3671.0,0.005033747030663663
CDM CRACKLE 36G,50.0,0.3,50.0,1.0,1.9689824811457375e-06
CHAKKI ATTA GODHUMA PINDI 1Kg,65.0,0.3,520.0,8.0,2.047741780391567e-05
CHAMA DUMPA,45.53508196721312,0.30000000000000004,38453.09,859.72,0.0015142692111184068
CHAMANTHI FLOWERS POOLU KG LOOSE,436.0,0.30000000000000004,1308.87,3.0,5.154284200194443e-05
CHANA DAL 1Kg,128.25,0.3000000000000001,4113.0,32.0,0.00016196849889904837
CHANA DAL 250g VELLANKI FOODS,130.9090909090909,0.3,5250.0,40.0,0.00020674316052030244
CHANA DAL 500g,65.24096385542168,0.3,7445.0,115.0,0.0002931814914426003
CHAT MURMURA 500 GM,62.63636363636363,0.3,4680.0,74.0,0.00018429676023524102
CHEDDAR CHEESE 200g MILKY MIST,150.0,0.3,900.0,6.0,3.5441684660623275e-05
CHEESE BLOCK 200G HERITAGE,131.74074074074073,0.30000000000000004,4217.0,32.0,0.0001660639824598315
CHEESE BLOCK 200G MILKY MIST,143.0,0.3,1570.0,11.0,6.182604990797616e-05
CHEESE CUBES 120g HERITAGE,90.64230769230768,0.3000000000000001,1178.35,13.0,4.640301013316159e-05
CHEESE CUBES 120g MILKY MIST,114.41666666666667,0.3,1373.0,12.0,5.4068258932261955e-05
CHEESE CUBES 200g MILKY MIST,169.0,0.30000000000000004,845.0,5.0,3.3275803931362964e-05
CHEESE EASY OPEN CHIPLET CUBES 60X8X25g AMUL,135.0,0.3,2025.0,15.0,7.974379048640237e-05
CHEESE SLICE 100G MILKY MIST,78.74369047619048,0.30000000000000004,8664.47,110.0,0.00034120379276825614
CHEESE SLICES 100g AMUL 5PC PACK,85.57142857142857,0.30000000000000004,6415.0,75.0,0.00025262045233099813
CHEESE SLICES 100g HERITAGE,57.5,0.3,2070.0,36.0,8.151587471943353e-05
CHEESE SLICES 200g AMUL 10PC PACK,145.7225,0.3,10199.57,72.0,0.0004016554929043926
CHEESE SLICES 200g HERITAGE,215.0,0.3,1935.0,9.0,7.619962202034004e-05
CHEESE SLICES 200g MILKYMIST,149.47727272727272,0.30000000000000004,8514.0,57.0,0.00033527833688949617
CHEESE SPREAD 200g AMUL,110.0,0.3,550.0,5.0,2.1658807292603113e-05
CHEESE SPREAD GARLI 200g MILKY MIST,119.16666666666667,0.3,715.0,6.0,2.8156449480384048e-05
CHEESE SPREAD GARLIC200G AMUL,112.0,0.30000000000000004,224.0,2.0,8.821041515532905e-06
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,118.33333333333333,0.3,355.0,3.0,1.3979775616134737e-05
CHEESE SPREAD PEPPER 200g MILKY MIST,120.0,0.3,240.0,2.0,9.45111590949954e-06
CHEGODI 250g VELLANKI FOODS,145.55339743589744,0.3,51264.0,352.0,0.0020187583582691017
CHEKKARAKELI BANANA,123.7339010989011,0.30000000000000004,105288.19,858.44,0.0041462120316308766
CHERRY LOCAL ANAND,214.72340425531914,0.30000000000000004,60574.0,298.0,0.0023853828962584383
CHERRY TOMATO KG RED SAMBERRY,262.56874999999997,0.30000000000000004,4324.5,16.31,0.00017029729479429485
CHERUKU GADDALU,32.0,0.30000000000000004,1920.0,60.0,7.560892727599632e-05
CHERUKU RASALU KG LOOSE,172.637,0.30000000000000004,76365.67,461.89,0.003007253327819132
CHIA SEEDS KGS FLYBERRY,850.0,0.3,9326.2,10.97,0.00036726248831322756
CHICKEN BONE LESS PICKLE 250g VELLANKI FOODS,354.1666666666667,0.3000000000000001,2125.0,6.0,8.368175544869385e-05
CHICKPEAS 50g FLYBERRY GOURMET,49.0,0.30000000000000004,147.0,3.0,5.7888084945684684e-06
CHICOOS SAPOTA JUICE,58.125,0.3,2640.0,45.0,0.00010396227500449494
CHICOOS(Sapota),83.0416091954023,0.30000000000000004,25203.0,308.55,0.0009924853094463205
CHIKKUDU SEED PACK,298.9984615384615,0.30000000000000004,2284.98,7.61,8.998171179536774e-05
CHIKKUDUKAI,108.23793333333333,0.30000000000000004,107260.2,1020.64,0.004223869094483761
CHIKKUDUKAYA PICKLE 250g AHA,90.0,0.3000000000000001,270.0,3.0,1.0632505398186982e-05
CHINNA RASALU KG LOOSE,141.61555555555555,0.30000000000000004,123437.86,889.21,0.004860939677002404
CHINTA CHIGURU,475.4939622641509,0.3000000000000001,27442.06,58.76,0.001080658707731004
CHOCOLATE 150G HBD PACK AMUL,200.0,0.3,3000.0,15.0,0.00011813894886874425
CHOCOLATE MILK SHAKE 180ML HERITAGE,27.142857142857142,0.30000000000000004,6424.0,247.0,0.00025297486917760434
CHOUSA MANGO KG LOOSE,229.1764705882353,0.3000000000000001,13006.95,57.57,0.0005122091336627711
CHOWCHOW,46.0625,0.30000000000000004,1141.94,24.41,4.496919709039127e-05
CINNAMON DALCHINI KG FLYBERRY,950.0,0.3,927.1999999999999,0.98,3.6512811130366553e-05
CLOVES 50g,90.0,0.30000000000000016,6210.0,69.0,0.0002445476241583006
CLUSTER BEANS,59.190164835164836,0.30000000000000004,63949.94,1067.93,0.002518326230606421
COCONUT,43.886448087431695,0.30000000000000004,162488.22,3696.0,0.006398729171451089
COCONUT KARAM 100G  VELLANKI FOODS,64.36363636363636,0.30000000000000004,772.0,12.0,3.0401089508890187e-05
COCONUT MANGO,189.4829508196721,0.30000000000000004,59162.729999999996,310.07,0.002329807578135107
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,70.0,0.3,70.0,1.0,2.7565754736040326e-06
COCONUT SLICE KGS FLYBERRY,470.0,0.3,657.06,1.4000000000000001,2.5874792581232365e-05
COFFEE XTRA 100g JAR INSTANT SOUTH BLEND CONTINENTAL,241.55555555555554,0.30000000000000004,2174.0,9.0,8.561135828021667e-05
COKE 250ML,20.0,0.3,340.0,17.0,1.3389080871791014e-05
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,599.0,0.3000000000000001,2396.0,4.0,9.435364049650374e-05
COLD PRESSED WHITE SESAME OIL 500ML MESMARA,350.0,0.3000000000000001,1400.0,4.0,5.513150947208065e-05
COLOUR CUCUMBER,36.42377049180328,0.30000000000000004,95482.76,2629.25,0.0037600776338288593
CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,147.2375,0.3000000000000001,1193.7,10.0,4.700748775487334e-05
CONTINENTAL XTRA INSTANT SOUTH BLEND COFFEE 150g POUCH,355.0,0.30000000000000004,4258.0,12.0,0.000167678548094371
COOKING BUTTER 100G MILKY MIST,74.85267857142857,0.3,6141.75,82.0,0.00024185996307153667
COOKING BUTTER 100g AMUL UNSALTED,64.07692307692308,0.3,2558.0,40.0,0.00010073314373541593
COOKING BUTTER 200G HERITAGE,129.79166666666666,0.3,3630.0,28.0,0.00014294812813118055
COOKING BUTTER 500g HERITAGE,301.1764705882353,0.3,5120.0,17.0,0.00020162380606932352
COOKING BUTTER UNSALTED 200g MILKY MIST,145.14285714285714,0.30000000000000004,3334.0,23.0,0.00013129175184279778
COOKING UNSALTED BUTTER 500g MILKY MIST,355.0,0.3000000000000001,5680.0,16.0,0.0002236764098581558
COPRA POWDER 100G EVR,52.02272727272727,0.3,2136.75,41.0,8.41444663317631e-05
CORIANDER,93.54021978021977,0.30000000000000004,188619.91,1980.48,0.007427785967705714
CORIANDER 200g,67.5,0.3,6945.0,103.0,0.0002734916666311429
CORN FLAKES 200G EVR,49.0,0.30000000000000004,490.0,10.0,1.9296028315228227e-05
CORN FLAKES MIXTURE250g VELLANKI FOODS,136.9035714285714,0.3,28884.7,211.0,0.0011374693654630057
CORN FLOUR 200g EVR,38.0,0.30000000000000004,342.0,9.0,1.3467840171036844e-05
COW GHEE 200ml JAR AMUL HIGH AROMA,145.83225806451614,0.30000000000000004,5432.8,37.0,0.00021394176047137125
COW GHEE 250G VELLANKI FOODS,225.0,0.3,16650.0,74.0,0.0006556711662215306
COW GHEE 350g SIDS FARM,502.7027027027027,0.3,22100.0,44.0,0.000870290256666416
COW GHEE 500ml PET JAR MILKYMIST,423.0,0.30000000000000004,1692.0,4.0,6.663036716197176e-05
COW MILK 500ML POUCH SIDS FARM,41.86049180327869,0.30000000000000004,83589.86,2010.0,0.003291739398828497
COW MILK 500ml GOLDEN HERITAGE,31.0,0.30000000000000004,31.0,1.0,1.2207691383103572e-06
CREAMY COFFEE HAZELNUT 22g CONTINENTAL,30.0,0.3,300.0,10.0,1.1813894886874425e-05
CRUNCHY BANANA CHIPS 100g FLYBERRY,125.0,0.3,1125.0,9.0,4.430210582577909e-05
CRUNCHY BANANA CHIPS 250g FLYBERRY,299.0,0.30000000000000004,1196.0,4.0,4.7098060949006044e-05
CRUNCHY BANANA CHIPS 65g FLYBERRY,99.0,0.30000000000000004,396.0,4.0,1.559434125067424e-05
CUCUMBER,39.53939890710382,0.30000000000000004,218653.87,5548.36,0.008610512789294351
CUCUMBER WHITE,69.0,0.30000000000000004,90.8,1.32,3.575672185760659e-06
CUMIN JEERA KG FLYBERRY,950.0,0.3,528.2,0.56,2.0800330930823574e-05
CURD 135g POUCH MILKY MIST,10.0,0.3,17530.0,1753.0,0.0006903252578896956
CURD 500g POUCH HERITAGE,49.856263736263735,0.3,155741.25,3133.0,0.006133035856834772
CURD CUP 200G HERITAGE,25.0,0.3,6525.0,262.0,0.00025695221378951876
CURD CUP 400GHERITAGE,46.06587209302325,0.3000000000000001,20063.0,438.0,0.0007900739103845387
