product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility,days_span,avg_days_between_sales,estimated_turnover
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,303.0,2.06,1.16,6.0,45715.0,2025-04-01,2025-09-30,147,0.5631067961165048,182,1.2380952380952381,1.6833333333333333
PALLI PEANUT VUNDALU 250g VELLANKI FOODS,82.0,1.3,0.59,3.0,12400.0,2025-04-14,2025-09-28,63,0.4538461538461538,167,2.6507936507936507,0.9111111111111111
PANASA POTTU,97.6,1.37,0.8,4.0,6240.0,2025-04-01,2025-09-29,71,0.583941605839416,181,2.5492957746478875,0.8133333333333332
PANDU MIRAPAKAI PICKLE 500g AHA,3.0,1.0,0.0,1.0,525.0,2025-05-08,2025-08-28,3,0.0,112,37.333333333333336,0.1
PANDUMIRAPAKAYA 250g PICKLE AHA,13.0,1.08,0.29,2.0,1170.0,2025-04-02,2025-09-25,12,0.2685185185185185,176,14.666666666666666,0.21666666666666667
PANEER 200G HERITAGE,1407.0,7.95,4.46,31.0,163385.4,2025-04-01,2025-09-30,177,0.5610062893081761,182,1.0282485875706215,1.5129032258064516
PANEER 200G ID FRESH,299.0,2.27,1.32,6.0,39895.0,2025-04-02,2025-09-30,132,0.5814977973568283,181,1.371212121212121,1.6611111111111112
PANEER 200g SINGLE BLOCK MILKY MIST,280.0,2.37,1.55,8.0,35820.2,2025-04-01,2025-09-28,118,0.6540084388185654,180,1.5254237288135593,1.1666666666666667
PANEER 500G HERITAGE,447.0,2.06,1.45,9.0,123009.96,2025-04-01,2025-09-30,217,0.703883495145631,182,0.8387096774193549,1.6555555555555554
PANEER 500g MILKY MIST,24.0,1.04,0.21,2.0,7660.0,2025-04-04,2025-09-25,23,0.2019230769230769,174,7.565217391304348,0.4
PAPPAYA,3768.19,20.59,7.56,49.18,223167.08,2025-04-01,2025-09-30,183,0.3671685284118504,182,0.994535519125683,2.5540124711942522
PAPPAYA JUICE,31.0,1.35,0.57,3.0,1550.0,2025-04-01,2025-09-29,23,0.42222222222222217,181,7.869565217391305,0.34444444444444444
PARSLEY PACK,1.0,1.0,,1.0,50.0,2025-07-05,2025-07-05,1,,0,0.0,0.03333333333333333
PARVAL,349.78,2.23,1.29,5.61,26222.33,2025-04-02,2025-09-28,157,0.57847533632287,179,1.1401273885350318,2.0783125371360662
PASTEURISED BUTTER 100g AMUL,97.0,1.83,1.16,5.0,5954.0,2025-04-01,2025-09-13,53,0.633879781420765,165,3.1132075471698113,0.6466666666666666
PASUPU KOMMULU,37.29,0.28,0.21,1.03,6793.03,2025-04-01,2025-09-27,135,0.7499999999999999,179,1.325925925925926,1.2067961165048542
PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,20.0,1.11,0.32,2.0,9800.0,2025-04-06,2025-09-24,18,0.2882882882882883,171,9.5,0.3333333333333333
