product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility
MUSTARD BIG 200g,58.0,1.21,0.54,3.0,2440.0,2025-04-06,2025-09-26,48,0.44628099173553726
MUSTARD OIL 1Lt. MESMARA,8.0,1.14,0.38,2.0,4792.0,2025-04-19,2025-08-17,7,0.33333333333333337
MUSTARD SMALL 200g,62.0,1.13,0.39,3.0,2916.0,2025-04-04,2025-09-28,55,0.3451327433628319
MYSORE PAK 250g HARD VELLANKI FOODS,79.0,1.25,0.47,3.0,11625.0,2025-04-02,2025-09-30,63,0.376
Mango Juices,7.0,1.4,0.55,2.0,560.0,2025-04-16,2025-08-25,5,0.3928571428571429
NAGPUR ORANGE,598.51,10.88,6.76,33.36,86418.26,2025-04-01,2025-09-30,55,0.6213235294117646
NAGPUR ORANGE JUICE,36.0,1.89,0.99,5.0,3090.0,2025-04-01,2025-09-29,19,0.5238095238095238
NALLA KARAM 100g VELLANKI FOODS,7.0,1.17,0.41,2.0,434.0,2025-08-25,2025-09-30,6,0.3504273504273504
NANDA CREAM BUN VANILLA 60g,134.0,4.32,3.18,14.0,2010.0,2025-08-02,2025-09-28,31,0.736111111111111
NANDA CRM BUN CHOCOLATE 60g,99.0,2.91,2.52,10.0,1485.0,2025-07-30,2025-09-29,34,0.8659793814432989
NANDA CRM BUN PINEAPPLE 60g,91.0,2.84,1.74,7.0,1365.0,2025-07-30,2025-09-30,32,0.6126760563380282
NANDA MUFFIN FRUIT 240g,87.0,1.89,1.04,4.0,6427.25,2025-08-02,2025-09-30,46,0.5502645502645503
NANDA MUFFIN VANILLA 240g,97.0,2.42,1.74,7.0,7187.0,2025-07-29,2025-09-30,40,0.71900826446281
NANDA OSMANIA COOKIES 300g,143.0,2.55,1.49,8.0,10148.64,2025-07-30,2025-09-30,56,0.5843137254901961
NANDAS Mr BREADRY ZERO MAIDA 450g,3.0,1.5,0.71,2.0,180.0,2025-08-05,2025-08-07,2,0.47333333333333333
