product,total_revenue,total_quantity,revenue_per_unit
CORN FLAKES MIXTURE250g VELLANKI FOODS,28884.7,211.0,136.89431279620854
CORN FLOUR 200g EVR,342.0,9.0,38.0
COW GHEE 200ml JAR AMUL HIGH AROMA,5432.8,37.0,146.83243243243243
COW GHEE 250G VELLANKI FOODS,16650.0,74.0,225.0
COW GHEE 350g SIDS FARM,22100.0,44.0,502.27272727272725
COW GHEE 500ml PET JAR MILKYMIST,1692.0,4.0,423.0
COW MILK 500ML POUCH SIDS FARM,83589.86,2010.0,41.58699502487562
COW MILK 500ml GOLDEN HERITAGE,31.0,1.0,31.0
CREAMY COFFEE HAZELNUT 22g CONTINENTAL,300.0,10.0,30.0
CRUNCHY BANANA CHIPS 100g FLYBERRY,1125.0,9.0,125.0
CRUNCHY BANANA CHIPS 250g FLYBERRY,1196.0,4.0,299.0
CRUNCHY BANANA CHIPS 65g FLYBERRY,396.0,4.0,99.0
CUCUMBER,218653.87,5548.36,39.40873879849181
CUCUMBER WHITE,90.8,1.32,68.78787878787878
CUMIN JEERA KG FLYBERRY,528.2,0.56,943.2142857142857
CURD 135g POUCH MILKY MIST,17530.0,1753.0,10.0
CURD 500g POUCH HERITAGE,155741.25,3133.0,49.70994254707948
CURD CUP 200G HERITAGE,6525.0,262.0,24.904580152671755
CURD CUP 400GHERITAGE,20063.0,438.0,45.805936073059364
CURD POUCH 400g MILKY MIST,38764.0,929.0,41.72658772874058
CURD TUB 1KG HERITAGE,98142.23,904.0,108.56441371681416
CURRY LEAVES,59596.840000000004,635.03,93.84885753428973
CUSTARD APPLE ANAND,195140.17,725.49,268.9770637775848
DABBAKAI,2415.0,48.0,50.3125
DALCHINI 50g,7080.0,118.0,60.0
DALMOTI 250g VELLANKI FOODS,20920.0,138.0,151.59420289855072
DAMPUDU BIYYAM 1Kg AISHWARYA,445.0,6.0,74.16666666666667
DARK CHOCOLATE 150g AMUL,2000.0,10.0,200.0
DARK CHOCOLATE 150g BEST WISHES AMUL,3736.0,19.0,196.6315789473684
DASHERI MANGO KG LOOSE,173487.08,812.64,213.48577475881078
DATE BITES 160g FLYBERRY,46823.4,157.0,298.23821656050956
DATES POWDER 180g FLYBERRY,1596.0,4.0,399.0
DEHYDRATED GINGER  KGS FLYBERRY,126.27,0.12,1052.25
DEHYDRATED KIWI KG FLYBERRY,1214.52,1.6400000000000001,740.560975609756
DEHYDRATED MANGO KG FLYBERRY,3502.5,2.81,1246.44128113879
DEHYDRATED PAPAYA  KGS FLYBERRY,173.34,0.21000000000000002,825.4285714285713
DEHYDRATED PINEAPPLE KG FLYBERRY,1922.4,1.59,1209.0566037735848
DERI DATES KG FLYBERRY,2215.8,2.4899999999999998,889.8795180722893
DESI COW GHEE 500ml JIVIKA ORGANICS,9990.0,10.0,999.0
DIAMOND MISRI 200G,2520.0,67.0,37.61194029850746
DILKUSH GRAPES KG LOOSE,21595.82,146.14,147.7748734090598
DISCO PUMPKIN,7251.85,184.34,39.33953564066399
DONDAKAI,178902.06,3939.51,45.412261931052335
DOODH PEDA 200g HERITAGE,29419.0,236.0,124.65677966101696
DOSA BATTER MIX 900g DSL,41680.0,522.0,79.84674329501915
DOSE WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,6000.0,48.0,125.0
DOUBLE BEANS,85.44,0.72,118.66666666666667
DOUBLE HORSE URAD ROUND 1KG,24720.0,130.0,190.15384615384616
DR GOOD EGGS CAROTENOID 12 PACK,42003.6,272.0,154.42499999999998
DR GOOD EGGS CAROTENOID 30 PACK,38904.0,105.0,370.51428571428573
DRAGAN FRUIT JUICE,300.0,3.0,100.0
DRAGON  FRUIT,126788.39,752.93,168.39333005724305
DRIED BLACKBERRY KG FLYBERRY,598.0,0.19,3147.3684210526317
DRIED BLUEBERRY KG FLYBERRY,18805.4,7.21,2608.238557558946
DRIED CRANBERRY WHOLE KG FLYBERRY,12562.0,11.43,1099.0376202974628
DRIED DATES YELLOW250 GM,250.0,2.0,125.0
DRUMSTICK,106917.69,13157.0,8.126297028197918
DRY CHURRA KG FLYBERRY,3309.9,4.51,733.9024390243903
DRY COCONUT 250G EVR,7820.0,56.0,139.64285714285714
DRY COCONUT KG FLYBERRY,1162.8,1.9500000000000002,596.3076923076923
EGGS 12PS FARM MADE FREE RANGE U N V,37859.0,131.0,289.0
EGGS 6PC FARM MADE FREE RANGE U N V,31290.0,210.0,149.0
EGGS 6PC JUST LAID VN POULTRY,79920.0,999.0,80.0
EGGS 6PC UPF HEALTHY WHITE U N V,2225.0,25.0,89.0
ELEPHANT FOREST HONEY 250G 1+1,574.6,7.0,82.08571428571429
ELEPHANT FOREST HONEY 500G 1+1,159.5,1.0,159.5
ELEPHANT SEEDED DATES 400G(CUPS) (1+1 OFFER),920.0,8.0,115.0
ELEPHANT SEEDLESS HONEY DATES400G+10,1990.0,10.0,199.0
ELEPHANT YAM,37894.58,405.08,93.54838550409796
ENG ITEM BROCOLI SAMBERRY,166019.06,461.8,359.5042442615851
ENG ITEM CELERY SAMBERRRY,1257.3,5.71,220.19264448336253
ENG ITEM CHINESE CABBAGE SAMBERRY,5339.01,25.79,207.018611865064
ENG ITEM COLOUR CABBAGE SAMBERRY,14381.61,69.23,207.7366748519428
ENG ITEM GREEN LETTUCE SAMBERRY,14676.64,56.96,257.6657303370786
ENG ITEM PARSLEY SAMBERRY,320.46,1.03,311.126213592233
EUROPEN CUCUMBER,156041.7,2483.53,62.83060804580577
FIGS AFGHANI NORMAL KG FLYBERRY,47772.840000000004,25.32,1886.7630331753555
FILTER COFFE STRONG 5 10ml ID FRESH,55.0,1.0,55.0
FILTER COFFEE 150ML ID FRESH,700.0,5.0,140.0
FILTER COFFEE 150ML NEW BOLD ID FRESH,540.0,4.0,135.0
FINGER CHIPS PAPAD 200G EVR,478.4,10.0,47.839999999999996
FLAX SEED OIL 1L MESMARA,2396.0,4.0,599.0
FLAX SEEDS KGS FLYBERRY,2814.56,10.66,264.03001876172607
FLY BERRY DERI DATES 255g,84575.0,427.0,198.0679156908665
FLYBERRY CASHEW 4 PIECE,1566.01,1.55,1010.3290322580644
FLYBERRY CRISPY SWEET CORN 12g,147.0,3.0,49.0
FLYBERRY CRUNCHY BANANA CHIPS 25g,297.0,6.0,49.5
FLYBERRY DREAMY DERI DATES 220g,27930.0,70.0,399.0
FLYBERRY DREAMY DERI DATES 400G,54521.99,78.0,698.9998717948718
FLYBERRY KNOCKOUT KALMI DATES 200g,2988.0,12.0,249.0
FLYBERRY KNOCKOUT KALMI DATES 400g,4939.0,11.0,449.0
FLYBERRY MEDJOUL MAJESTIC DATES 400g BOX,36963.0,37.0,999.0
FLYBERRY MINI MEDJOUL DATES 200g BOX,9876.0,24.0,411.5
FLYBERRY SHAHJEERA CARAWAY SEEDS,104.94,0.11,954.0
FLYBERRY SPICE OKRA CHIPS 25g,1782.0,36.0,49.5
FLYBERRY SPICED CHICKPEAS CRISP 31g,99.0,2.0,49.5
FLYBERRY STRAWBERRY DEHYDRATED REGULAR,11113.6,6.96,1596.7816091954023
FOXTAIL MILLET KORRALU BIYYAM 500g,720.0,9.0,80.0
FREEDOM GROUNDNUTOIL 1LT,16962.0,104.0,163.09615384615384
FREEDOM MUSTARD OIL 1 Lt,178.0,1.0,178.0
FREEDOM RF SUNFLOWER OIL 1LT POUCH,64739.0,408.0,158.67401960784315
FREEDOM RICE BRAN 1LTR,22978.0,147.0,156.31292517006804
FREEDOM SUNFLOWER OIL 5LT,18903.6,24.0,787.65
FREEDOM SUNFLOWER OIL PET 1LT,12080.0,72.0,167.77777777777777
FREEDOM SUNFLOWER OIL PET 2LT,11375.99,32.0,355.4996875
FRESH CREAM 200ML HERITAGE,65.0,1.0,65.0
FRESH CREAM 250ML AMUL,3101.0,45.0,68.91111111111111
FRESH CREAM 250ml UHT MILKY MIST,4320.0,54.0,80.0
FRESH DATES YELLOW BOX ANAND,489.30000000000007,7.0,69.9
FRESH LOOSE PANEER,155474.76,304.8,510.08779527559057
